Time,Raw,FIR,IIR
0.0,0.000173,,
0.0006666666666666,0.000184,,
0.0013333333333333,0.000232,,
0.002,0.000288,,
0.0026666666666666,0.000322,,
0.0033333333333333,0.000271,,
0.004,0.000209,,
0.0046666666666666,0.000196,,
0.0053333333333333,0.000257,,
0.006,0.000299,,
0.0066666666666666,0.000326,,
0.0073333333333333,0.000294,,
0.008,0.000222,,
0.0086666666666666,0.000185,,
0.0093333333333333,0.000152,,
0.01,8.9e-05,,
0.0106666666666666,-0.0,,
0.0113333333333333,-9e-05,,
0.012,-0.000194,,
0.0126666666666666,-0.000271,,
0.0133333333333333,-0.000334,,
0.014,-0.000386,,
0.0146666666666666,-0.000452,,
0.0153333333333333,-0.000501,,
0.016,-0.000522,,
0.0166666666666666,-0.000508,,
0.0173333333333333,-0.000395,,
0.018,-0.000218,,
0.0186666666666666,1.7e-05,,
0.0193333333333333,0.00013,,
0.02,0.000149,,
0.0206666666666666,0.00017,,
0.0213333333333333,0.000187,,
0.022,0.000167,,
0.0226666666666666,0.000163,,
0.0233333333333333,0.000169,,
0.024,0.000185,,
0.0246666666666666,0.000196,,
0.0253333333333333,0.000255,,
0.026,0.0003,,
0.0266666666666666,0.000313,,
0.0273333333333333,0.000304,,
0.028,0.000265,,
0.0286666666666666,0.000223,,
0.0293333333333333,0.000172,,
0.03,7.8e-05,,
0.0306666666666666,-3.3e-05,,
0.0313333333333333,-0.000113,,
0.032,-0.000168,,
0.0326666666666666,-0.00026,,
0.0333333333333333,-0.000356,,
0.0339999999999999,-0.00046,,
0.0346666666666666,-0.000537,,
0.0353333333333333,-0.000593,,
0.036,-0.000587,,
0.0366666666666666,-0.000533,,
0.0373333333333333,-0.000405,,
0.038,-0.00022,,
0.0386666666666666,1e-06,,
0.0393333333333333,0.000106,,
0.04,0.000114,,
0.0406666666666666,0.000115,,
0.0413333333333333,0.000122,,
0.0419999999999999,9.5e-05,,
0.0426666666666666,8.4e-05,,
0.0433333333333333,9.5e-05,,
0.044,9.5e-05,,
0.0446666666666666,7.5e-05,,
0.0453333333333333,9.6e-05,,
0.046,0.000111,,
0.0466666666666666,0.000105,,
0.0473333333333333,0.000127,,
0.048,0.00016,,
0.0486666666666666,0.00021,,
0.0493333333333333,0.000205,,
0.0499999999999999,0.000134,,
0.0506666666666666,5.8e-05,,
0.0513333333333333,-3e-05,,
0.052,-0.000135,,
0.0526666666666666,-0.000243,,
0.0533333333333333,-0.00037,,
0.054,-0.000481,,
0.0546666666666666,-0.000547,,
0.0553333333333333,-0.00053,,
0.056,-0.000511,,
0.0566666666666666,-0.00048,,
0.0573333333333333,-0.000356,,
0.0579999999999999,-0.000175,,
